bin_low,bin_high,number_residues,mean_rsa_monomer,mean_rsa_complex
0.0,0.0,34904,0.0,0.0
0.0,0.05,39788,0.021295449061055925,0.020497460096815554
0.05,0.1,21575,0.07328511468908673,0.0689980982121231
0.1,0.15000000000000002,17127,0.12460285836078117,0.11586745707340362
0.15000000000000002,0.2,15204,0.1756498685928534,0.16126137284194295
0.2,0.25,13667,0.22532522965714513,0.20520541553384708
0.25,0.30000000000000004,13397,0.275045574883455,0.24605010291231244
0.30000000000000004,0.35000000000000003,13003,0.32541142787800703,0.29130744025930316
0.35000000000000003,0.4,13452,0.37544679982607126,0.3335558324207237
0.4,0.45,12424,0.42547435623044727,0.3786851298896462
0.45,0.5,12825,0.47547959712990245,0.41964340467423494
0.5,0.55,11800,0.5258942095059854,0.46469422911205943
0.55,0.6000000000000001,11056,0.5754288470515119,0.5066067611241454
0.6000000000000001,0.65,9819,0.6254312007194898,0.5507463089325836
0.65,0.7000000000000001,8654,0.6747912595846446,0.5926029987629104
0.7000000000000001,0.75,7785,0.7242469099384251,0.6368817389176812
0.75,0.8,6462,0.7752049479102298,0.6791848907176018
0.8,0.8500000000000001,4994,0.8248309321909171,0.726375570018405
0.8500000000000001,0.9,4224,0.8745654359821252,0.7690744611925151
0.9,0.9500000000000001,3188,0.9248778339805693,0.811942412297524
0.9500000000000001,1.0,6744,0.9916452724370902,0.8627545528083548
